file,size,basic_time,basic_mem,eff_time,eff_mem
in1.txt,16,0.729,17776.0,0.9101,17572.0
in10.txt,1536,233.1042,39804.0,472.0184,17844.0
in11.txt,2048,459.4956,56980.0,889.4488,18136.0
in12.txt,2560,694.0018,82080.0,1353.1042,18260.0
in13.txt,3072,974.8902,109420.0,1910.1341,18032.0
in14.txt,3584,1339.7426,144444.0,2334.1929,18084.0
in15.txt,3968,1539.6981,172816.0,3052.9366,18228.0
in2.txt,64,1.0396,17792.0,1.4361,17728.0
in3.txt,128,1.922,17704.0,4.6087,17768.0
in4.txt,256,5.3267,18280.0,10.2737,17656.0
in5.txt,384,15.5663,18056.0,23.3791,17592.0
in6.txt,512,37.0265,19864.0,55.8369,17612.0
in7.txt,768,54.9868,21312.0,95.468,17704.0
in8.txt,1024,111.2085,26332.0,190.9652,17732.0
in9.txt,1280,146.8276,30864.0,332.3073,17772.0
